Full_Name,Preferred_Language,Referral_Code,Zodiac_Sign,Nakshatra,Date_of_Birth,Email,Location,Gender,
Boda Rahul Naik,Tamil,9390486093,Libra,Utram,27-03-2003,rahulrvms4@gmail.com,Hyderabad,M,
Banoth Sri Kowshika Raj,Telugu,9390486093,Gemini,Utram,30-08-2005,KowshikaRK@gmail.com,Khammam,F,
Aashish Kamuju,Telugu,9390486093,Aries,Rohini,21-09-2003,Aashish@gmail.com,Hyderabad,M,
Aashrish Vinay,Hindi,9390486093,Aries,Mula,27-06-2002,vinay9@gmail.com,Hyderabad,M,
Abhilasha,Hindi,9390486093,Capricorn,Ashlesha,12-04-1999,Abhilasha@gmail.com,Bhopal,F,
Abhinav,Tamil,9390486093,Cancer,Pushya,23-04-1998,Abhinav@gmail.com,Bihar,M,
Abhiram,Malayalam,9390486093,Aries,Ashwini,03-06-2003,Abhiram@gmail.com,Gudivada,M,
Abhishek Arya,Mithali,9390486093,Virgo,Swati,02-09-2002,Arya896@gmail.com,Ayodhya,M,
Aditya,Gujarati,9390486093,Scorpio,Hasta,14-01-2002,AdityaRk@gmail.com,Surat,M,
Arnav,Gujarati,9390486093,Leo,Bharani,17-02-2003,ArnavShah@gmail.com,Gandhinagar,M,
Arpit Arya,Hindi,9390486093,Taurus,Ashwini,23-04-2002,ArpitBoy@gmail.com,Bhopal,M,
Arun Kunchala,Telugu,9390486093,Pisces,Purvashadha,31-03-2003,ArunKKumar@gmail.com,Warangal,M,
Ashish Cherukuri,Telugu,9390486093,Aquarius,Phalguni,23-09-2002,Aashishch@gmail.com,Hyderabad,M,
Ashish Dev,Haryanvi,9390486093,Leo,Ardra,15-09-2001,Ashishbansal@gmail.com,Bulandshahar,M,
Ashok pawar,Telugu,9390486093,Sagitarius,Magha,04-04-2001,ashokpawar@gmail.com,Khammam,M,
Baikuntha Nath Sahu,Bengali,9390486093,Libra,Phalguni,15-08-1975,Sahu69@gmail.com,Kharagpur,M,
Bhavani Singh,Rajasthani,9390486093,Gemini,Moola,15-06-1989,BhavaniSingh@gmail.com,Jodhpur,M,
Bhupendra,Rajasthani,9390486093,Tauras,Jyeshtha,31-03-2002,Bhupendra96@gmail.com,Jodhpur,M,
Bikas Singh,Hindi,9390486093,Virgo,Rohini,16-06-2001,Bikas6969@gmail.com,Chambal,M,
Biyaram Saste,Hindi,9390486093,Scorpio,Pushya,15-05-2002,BiyaramSaste@gmail.com,Indore,M,
Devansh Shah,Gujarati,9390486093,Aquarius,Hasta,06-09-2002,Shah9645@gmail.com,Vadodara,M,
Dhyan Yajnik,Hindi,9390486093,Gemini,Bharani,12-06-2001,Yajnik.1@gmail.com,Bhopal,M,
Gajendra Singh,Rajasthani,9390486093,Virgo,Ashlesha,21-04-2001,Gajendra@gmail.com,Bikaner,M,
Gaurav Singh,Assamese,9390486093,Capricorn,Jyeshtha,15-04-1989,Gaurav789@gmail.com,Silchar,M,
Harinder,Kannada,9390486093,Aries,Swati,23-01-2001,Harindersingh@gmail.com,Mysuru,M,
Harshith,Telugu,9390486093,Leo,Swati,15-12-2000,Harshith69@gmail.com,Rajamundry,M,
Jitesh,Malayalam,9390486093,Taurus,Bharani,16-08-2002,Jitesh@gmail.com,Hyderabad,M,
Lakshay Garg,Hindi,9390486093,Libra,Rohini,14-06-2002,Lakshay45@gmail.com,Lucknow,M,
Lokesh Tanwar,Hindi,9390486093,Gemini,Ardra,15-03-2001,Tanwar76@gmail.com,Bhopal,M,
Manoj Solara,Hindi,9390486093,Leo,Bharani,20-05-2000,Solara@gmail.com,Kanpur,M,
